Account Id,Account Name,Pipeline Id,Pipeline Name,Stage Id,Stage Name
35,Avenue Consultancy,Lyj9RFAIYjyh5K58vX5n,Chargeback Pipeline,87007956-5524-4594-8b23-f252b367c6f2,Chargeback Fixed
35,Avenue Consultancy,Lyj9RFAIYjyh5K58vX5n,Chargeback Pipeline,19fa81a5-b31d-4fdb-be1c-7bb0412770b6,Chargeback DQ
35,Avenue Consultancy,1wC8YhIjp4nTUlpj5BFT,Customer Pipeline,5e32640b-7115-4216-be5b-aec73fc67e04,Issued - Pending First Draft
35,Avenue Consultancy,1wC8YhIjp4nTUlpj5BFT,Customer Pipeline,76dd12c5-a7a0-4f2d-8975-a12d8b20e7cd,Premium Paid - Commission Pending
35,Avenue Consultancy,1wC8YhIjp4nTUlpj5BFT,Customer Pipeline,52184fa2-d453-45ac-87c3-7bf330ac322e,ACTIVE PLACED - Paid as Earned
35,Avenue Consultancy,1wC8YhIjp4nTUlpj5BFT,Customer Pipeline,59148adb-0eb3-47da-941a-ec424d50e50d,ACTIVE PLACED - Paid as Advanced
35,Avenue Consultancy,1wC8YhIjp4nTUlpj5BFT,Customer Pipeline,c4355ffd-8c46-4333-b3c3-97506599a5a6,ACTIVE - 3 Months +
35,Avenue Consultancy,1wC8YhIjp4nTUlpj5BFT,Customer Pipeline,30cc0c11-4723-4d9c-add8-07c4e0ad4436,ACTIVE - 6 months +
35,Avenue Consultancy,1wC8YhIjp4nTUlpj5BFT,Customer Pipeline,cf29e031-1eff-4ca3-8203-1f5c3908c0a0,ACTIVE - 9 months
35,Avenue Consultancy,1wC8YhIjp4nTUlpj5BFT,Customer Pipeline,bd5711cd-518e-4dca-a6de-4006fd45f4d9,ACTIVE - Past Charge-Back Period
35,Avenue Consultancy,wSpUJc6CUNr1oRdRLIEi,Transfer Portal,46770207-51a3-4208-b6ed-e0571787a72b,Transfer API
35,Avenue Consultancy,wSpUJc6CUNr1oRdRLIEi,Transfer Portal,aa92600a-bed7-4ef2-a1ef-b006aab20c7b,Chargeback Fix API
35,Avenue Consultancy,wSpUJc6CUNr1oRdRLIEi,Transfer Portal,ad67a508-97ee-4b4e-9157-24d931dd4881,Incomplete Transfer
35,Avenue Consultancy,wSpUJc6CUNr1oRdRLIEi,Transfer Portal,2c0000dd-9b58-499c-a032-bb99c834e985,Returned To Center - DQ
35,Avenue Consultancy,wSpUJc6CUNr1oRdRLIEi,Transfer Portal,71904115-1a4d-4e31-8aa3-57710dc98021,Previously Sold BPO
35,Avenue Consultancy,wSpUJc6CUNr1oRdRLIEi,Transfer Portal,59e1a7d5-5116-49a6-b394-b3ff885ca768,DQ'd Can't be sold
35,Avenue Consultancy,wSpUJc6CUNr1oRdRLIEi,Transfer Portal,89e5d323-77f9-45d2-9ebf-f6bac370ed02,Needs BPO Callback
35,Avenue Consultancy,wSpUJc6CUNr1oRdRLIEi,Transfer Portal,30ecbcf3-19a5-4ea7-a2c9-94d8dd541358,Application Withdrawn
35,Avenue Consultancy,wSpUJc6CUNr1oRdRLIEi,Transfer Portal,348ed9ad-0d93-4584-9ccc-069d4b2f5c68,Declined Underwriting
35,Avenue Consultancy,wSpUJc6CUNr1oRdRLIEi,Transfer Portal,bf276166-ec6f-4e2c-bc9d-a7eaef394ae8,Pending Approval
35,Avenue Consultancy,wSpUJc6CUNr1oRdRLIEi,Transfer Portal,8f9fda50-dfd1-4ee2-90e2-cc397f1674cb,Pending Manual Action
36,Crown Connect BPO,URa1WrkhUozYXdtdACz7,Chargeback Pipeline,5dd81648-88b9-46a6-baf5-4da3d58df4f5,FDPF Pending Reason
36,Crown Connect BPO,URa1WrkhUozYXdtdACz7,Chargeback Pipeline,0eb0fd95-32bc-46d0-bbc4-7f18bf70c245,FDPF Insufficient Funds
36,Crown Connect BPO,URa1WrkhUozYXdtdACz7,Chargeback Pipeline,d097e8eb-c083-4864-a021-75b1c54164e7,FDPF Incorrect Banking Info
36,Crown Connect BPO,URa1WrkhUozYXdtdACz7,Chargeback Pipeline,df0ad77c-d6e2-4730-8174-031d8068b539,FDPF Unauthorized Draft
36,Crown Connect BPO,URa1WrkhUozYXdtdACz7,Chargeback Pipeline,224e8be7-7280-4d15-823b-d6df29eafc78,Pending Failed Payment Fix
36,Crown Connect BPO,URa1WrkhUozYXdtdACz7,Chargeback Pipeline,46432a76-9ed8-400f-ad5d-82ea0bc61f41,Pending Lapse
36,Crown Connect BPO,URa1WrkhUozYXdtdACz7,Chargeback Pipeline,7f8aa35a-cb86-423e-a066-d86326fa33ed,Chargeback Failed Payment
36,Crown Connect BPO,URa1WrkhUozYXdtdACz7,Chargeback Pipeline,20af6195-9ba9-41ec-a582-cb5af0dc80b3,Chargeback Cancellation
36,Crown Connect BPO,URa1WrkhUozYXdtdACz7,Chargeback Pipeline,8d789d04-41a9-423a-bd51-6d91a51c8682,Pending Chargeback Fix
36,Crown Connect BPO,URa1WrkhUozYXdtdACz7,Chargeback Pipeline,b9755c84-ca4d-48cc-86fb-58795cbcba2d,Chargeback Fixed
36,Crown Connect BPO,URa1WrkhUozYXdtdACz7,Chargeback Pipeline,5d482445-dbd1-4260-ac65-c7b8154840fc,Chargeback DQ
36,Crown Connect BPO,qtZ0KD5NwfKDvvjEXR7t,Customer Pipeline,c2c23997-1642-4376-8f0b-d62b4a44fa4b,Issued - Pending First Draft
36,Crown Connect BPO,qtZ0KD5NwfKDvvjEXR7t,Customer Pipeline,917699f1-b642-4cc8-85e6-c84dbc0e5bb9,Premium Paid - Commission Pending
36,Crown Connect BPO,qtZ0KD5NwfKDvvjEXR7t,Customer Pipeline,ee9f08e4-7e81-456d-b258-8c1d39f2249f,ACTIVE PLACED - Paid as Earned
36,Crown Connect BPO,qtZ0KD5NwfKDvvjEXR7t,Customer Pipeline,40939fb9-1f56-4f20-9332-6f61b876a717,ACTIVE PLACED - Paid as Advanced
36,Crown Connect BPO,qtZ0KD5NwfKDvvjEXR7t,Customer Pipeline,2b08eaed-cf01-43a3-8085-a40100073d25,ACTIVE - 3 Months +
36,Crown Connect BPO,qtZ0KD5NwfKDvvjEXR7t,Customer Pipeline,1f46661a-fe31-4595-bfa2-21aa9d294ce7,ACTIVE - 6 months +
36,Crown Connect BPO,qtZ0KD5NwfKDvvjEXR7t,Customer Pipeline,c87db67f-f44f-4c5a-967e-e3229d3a08f0,ACTIVE - 9 months
36,Crown Connect BPO,qtZ0KD5NwfKDvvjEXR7t,Customer Pipeline,93c7398b-19ed-47ba-905e-ef0c347cacf0,ACTIVE - Past Charge-Back Period
36,Crown Connect BPO,dGrMaXQl4c68nrQcLXjC,Transfer Portal,58f6e09f-344d-44b4-914a-3913b8bde980,Transfer API
36,Crown Connect BPO,dGrMaXQl4c68nrQcLXjC,Transfer Portal,965a4350-5fed-41bb-910b-024c79c68699,Chargeback Fix API
36,Crown Connect BPO,dGrMaXQl4c68nrQcLXjC,Transfer Portal,c6de5d49-89c0-4e6b-9ef3-15919327ad1f,Incomplete Transfer
36,Crown Connect BPO,dGrMaXQl4c68nrQcLXjC,Transfer Portal,1943f9af-c183-4b7c-825f-fc34dcbceb56,Returned To Center - DQ
36,Crown Connect BPO,dGrMaXQl4c68nrQcLXjC,Transfer Portal,fd324046-d990-4633-ba9d-a00479222f36,Previously Sold BPO
36,Crown Connect BPO,dGrMaXQl4c68nrQcLXjC,Transfer Portal,1cae71c8-9949-4e39-bd2d-dde56382ebde,DQ'd Can't be sold
36,Crown Connect BPO,dGrMaXQl4c68nrQcLXjC,Transfer Portal,c3f544d5-0e6c-4a47-8ac4-b8ae59ca7d78,Needs BPO Callback
36,Crown Connect BPO,dGrMaXQl4c68nrQcLXjC,Transfer Portal,29b1f4ac-860d-4a6b-9f2e-e3f1d64ff545,Application Withdrawn
36,Crown Connect BPO,dGrMaXQl4c68nrQcLXjC,Transfer Portal,e26bdbbb-ae52-46ae-ab7f-3274a8314ab6,Declined Underwriting
36,Crown Connect BPO,dGrMaXQl4c68nrQcLXjC,Transfer Portal,c35f6937-64e4-4e9e-8ae9-723390f21d66,Pending Approval
36,Crown Connect BPO,dGrMaXQl4c68nrQcLXjC,Transfer Portal,f5a3dee7-3d1b-4586-ae0e-9f3b1e52261e,Pending Manual Action
37,Reliant,p7t771LkavLxcz00JleF,Chargeback Pipeline,1fc8a340-449b-4a07-9b38-dd04fff146dd,FDPF Pending Reason
37,Reliant,p7t771LkavLxcz00JleF,Chargeback Pipeline,25bc2024-0bb8-4fe4-a28c-e6c0bb3abc09,FDPF Insufficient Funds
37,Reliant,p7t771LkavLxcz00JleF,Chargeback Pipeline,c811e815-7480-4c14-95c2-8204133aa11f,FDPF Incorrect Banking Info
37,Reliant,p7t771LkavLxcz00JleF,Chargeback Pipeline,e4e4ec9b-e76b-4179-a1b4-34f69ca54ac7,FDPF Unauthorized Draft
37,Reliant,p7t771LkavLxcz00JleF,Chargeback Pipeline,3905923b-a5b1-4a24-9a07-dbcd2272bb78,Pending Failed Payment Fix
37,Reliant,p7t771LkavLxcz00JleF,Chargeback Pipeline,0164587e-c5e1-41df-a644-ae1a9f012f72,Pending Lapse
37,Reliant,p7t771LkavLxcz00JleF,Chargeback Pipeline,cb0e59cb-2acd-4a19-8d16-55a4e39b7258,Chargeback Failed Payment
37,Reliant,p7t771LkavLxcz00JleF,Chargeback Pipeline,0cfd2b3d-e5bb-46d0-9fe3-9e6636857abc,Chargeback Cancellation
37,Reliant,p7t771LkavLxcz00JleF,Chargeback Pipeline,5f5f4f05-4f1a-4484-9254-caf71f476598,Pending Chargeback Fix
37,Reliant,p7t771LkavLxcz00JleF,Chargeback Pipeline,3dea37ad-e552-4670-b5f1-bb96311aa8ed,Chargeback Fixed
37,Reliant,p7t771LkavLxcz00JleF,Chargeback Pipeline,abe98f2f-2f84-4116-a9cc-d768ad300e76,Chargeback DQ
37,Reliant,dq6dbhPGYGr3XNCO7zE6,Customer Pipeline,2e927959-0bfc-4865-9cb3-cdbae985fe14,Issued - Pending First Draft
37,Reliant,dq6dbhPGYGr3XNCO7zE6,Customer Pipeline,902133b8-9a80-4ffd-a0d4-fe9607628526,Premium Paid - Commission Pending
37,Reliant,dq6dbhPGYGr3XNCO7zE6,Customer Pipeline,da5cddbd-c8fb-4096-970f-ba86e882a6fa,ACTIVE PLACED - Paid as Earned
37,Reliant,dq6dbhPGYGr3XNCO7zE6,Customer Pipeline,ca573fff-de79-478f-ae82-11f512c9f81d,ACTIVE PLACED - Paid as Advanced
37,Reliant,dq6dbhPGYGr3XNCO7zE6,Customer Pipeline,1e3acc95-2fa4-4450-92ef-f7cee70e35ee,ACTIVE - 3 Months +
37,Reliant,dq6dbhPGYGr3XNCO7zE6,Customer Pipeline,e9c9bf57-b2c2-4c97-9abf-95bfafe86acb,ACTIVE - 6 months +
37,Reliant,dq6dbhPGYGr3XNCO7zE6,Customer Pipeline,4bebca84-5e42-44a3-94dd-63ea3dea971f,ACTIVE - 9 months
37,Reliant,dq6dbhPGYGr3XNCO7zE6,Customer Pipeline,cf141a2e-9333-4c68-9673-59a8204b7822,ACTIVE - Past Charge-Back Period
37,Reliant,uAVWw1uGmPlcNRvEfaJ3,Transfer Portal,c5a802ab-2f0d-418c-85eb-418b74df5804,Transfer API
37,Reliant,uAVWw1uGmPlcNRvEfaJ3,Transfer Portal,4d66d54f-049d-45af-8cf1-512640170a11,Chargeback Fix API
37,Reliant,uAVWw1uGmPlcNRvEfaJ3,Transfer Portal,00ce5866-0312-4b65-88e5-00d1ae62edce,Incomplete Transfer
37,Reliant,uAVWw1uGmPlcNRvEfaJ3,Transfer Portal,f13e6c91-5330-4d0a-bc7c-12374eace44b,Returned To Center - DQ
37,Reliant,uAVWw1uGmPlcNRvEfaJ3,Transfer Portal,0d36098a-cfca-4aa9-bf3a-9a0ecf273e4d,DQ'd Can't be sold
37,Reliant,uAVWw1uGmPlcNRvEfaJ3,Transfer Portal,6ab4962f-4c74-469e-8fdb-80b201a9c5f8,Needs BPO Callback
37,Reliant,uAVWw1uGmPlcNRvEfaJ3,Transfer Portal,3c0b653a-3d2e-4a3f-b758-ec41258e77fb,Application Withdrawn
37,Reliant,uAVWw1uGmPlcNRvEfaJ3,Transfer Portal,b1916dfd-b23b-4747-bd8f-5f912e488777,Declined Underwriting
37,Reliant,uAVWw1uGmPlcNRvEfaJ3,Transfer Portal,b90f1c90-529f-4e8e-a646-498308e59475,Pending Approval
37,Reliant,uAVWw1uGmPlcNRvEfaJ3,Transfer Portal,2d2a909b-bcaf-430a-8506-1b79b8916c35,Pending Manual Action
38,VYN,1rGL6bCQasvl5MfFjOeh,Chargeback Pipeline,61fa409e-6a20-46c5-81c8-bcf4597b3350,FDPF Pending Reason
38,VYN,1rGL6bCQasvl5MfFjOeh,Chargeback Pipeline,936d51de-fc39-4175-834a-03e966ad44e6,FDPF Insufficient Funds
38,VYN,1rGL6bCQasvl5MfFjOeh,Chargeback Pipeline,33e02fec-7fac-46dd-b674-09bf3da6abed,FDPF Incorrect Banking Info
38,VYN,1rGL6bCQasvl5MfFjOeh,Chargeback Pipeline,0b0b1cda-f350-413a-bb06-a26ec671eddd,FDPF Unauthorized Draft
38,VYN,1rGL6bCQasvl5MfFjOeh,Chargeback Pipeline,6e4f6e58-9138-42f9-81f7-64e9520e0c83,Pending Failed Payment Fix
38,VYN,1rGL6bCQasvl5MfFjOeh,Chargeback Pipeline,e0378aab-3450-4399-852a-19085905069b,Pending Lapse
38,VYN,1rGL6bCQasvl5MfFjOeh,Chargeback Pipeline,e21d3c3b-3e37-47bf-ba34-85983f659f3d,Chargeback Failed Payment
38,VYN,1rGL6bCQasvl5MfFjOeh,Chargeback Pipeline,0081b207-8723-437a-a134-1a03ca93e6ba,Chargeback Cancellation
38,VYN,1rGL6bCQasvl5MfFjOeh,Chargeback Pipeline,8bb1ad53-f19f-4702-b158-f3bbe331ae6c,Pending Chargeback Fix
38,VYN,1rGL6bCQasvl5MfFjOeh,Chargeback Pipeline,c7a91c00-4956-467f-b26a-15792d23b480,Chargeback Fixed
38,VYN,1rGL6bCQasvl5MfFjOeh,Chargeback Pipeline,11ce5ccf-365d-4ae5-ba9f-027b4a353b61,Chargeback DQ
38,VYN,m8RjMX9UMFrKUoHwgjFo,Customer Pipeline,021369b0-55e6-4d69-8e56-5b2a3e09bfce,Issued - Pending First Draft
